#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;

String_secret_religious_society_pelagian_DuDelaDes;_;des Pélagiens;;;;;;;;;;;;x
String_Religion_pelagian_Fem;_;pélagienne;;;;;;;;;;;;x
String_Religion_pelagian_Masc;_;pélagien;;;;;;;;;;;;x
String_Religion_pelagian_PlFem;_;pélagiennes;;;;;;;;;;;;x
String_Religion_pelagian_PlMasc;_;pélagiens;;;;;;;;;;;;x

secretly_pelagian;Secretly Pelagian;Secrètement de foi pélagienne;;;;;;;;;;;;x
secretly_pelagian_desc;This character practices Pelagianism in secret.;Ce personnage pratique le pélagianisme en secret.;;;;;;;;;;;;x

secret_religious_society_pelagian_currency;Devotion;Dévotion;;;;;;;;;;;;x

secret_religious_society_pelagian_leader_desc;The High Priest, leading the international effort of bringing more people into the fold.;Le grand prêtre dirige l'effort mondial visant à rassembler davantage de personnes en son sein.;;;;;;;;;;;;x

pelagian;Pelagian;pélagienne;;;;;;;;;;;;x

pelagian_DESC;The Breton monk Pelagius insisted on man's free will and the non necessary characteristic of divine grace to reach salvation. Denying the original sin, his doctrine was fought by Augustin of Hippone and declared heretic in 418. However it will continue to feed theological debates for many centuries.\n\nIf the Pentarchy is restored and Pelagianism becomes mainstream, the Great Schism could be mended. Pelagian court chaplains and patriarchs should be bishops or monks.\n;Le moine breton Pélage insistait sur le libre-arbitre de l'homme et le caractère non nécessaire de la grâce divine pour atteindre le salut. Niant le péché originel, sa doctrine fut combattue par Augustin d'Hippone et déclarée hérétique en 418. Elle continuera cependant d'alimenter les débats théologiques pendant de nombreux siècles.\n\nSi la Pentarchie est restaurée et que le pélagianisme devient majoritaire, le Grand Schisme pourrait prendre fin. Les chapelains et patriarches pélagiens doivent être évêques ou moines.\n;;;;;;;;;;;;x

secret_religious_society_pelagian_rank_1_female;Faithful;Fidèle;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_2_female;Adherent;Adhérente;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_3_female;Preacher;Prêcheuse;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_4_female;Herald;Messagère;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_1_male;Faithful;Fidèle;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_2_male;Adherent;Adhérent;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_3_male;Preacher;Prêcheur;;;;;;;;;;;;x
secret_religious_society_pelagian_rank_4_male;Herald;Messager;;;;;;;;;;;;x

secret_religious_society_pelagian;the Pelagian Faithful;les Pélagiens;;;;;;;;;;;;x
secret_religious_society_pelagian_desc;The Breton monk Pelagius insisted on man's free will and the non necessary characteristic of divine grace to reach salvation. Denying the original sin, his doctrine was fought by Augustin of Hippone and declared heretic in 418. However it will continue to feed theological debates for many centuries.;Le moine breton Pélage insistait sur le libre-arbitre de l'homme et le caractère non nécessaire de la grâce divine pour atteindre le salut. Niant le péché originel, sa doctrine fut combattue par Augustin d'Hippone et déclarée hérétique en 418. Elle continuera cependant d'alimenter les débats théologiques pendant de nombreux siècles.;;;;;;;;;;;;x

String_Pelagian;Pelagian;pélagien;;;;;;;;;;;;x

secret_pelagian_community;Secret Pelagian Community;Communauté pélagienne secrète;;;;;;;;;;;;x
secret_pelagian_community_desc;In secret, Pelagian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles pélagiens ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;;;;;;;;;;;;x

d_pelagian;The Pelagian Papacy;Papauté pélagienne;;;;;;;;;;;;x;
d_pelagian_adj;Pelagian Papal;papale pélagienne;;;;;;;;;;;;x;

secretly_convert_to_pelagian_holy_site;Secretly Convert to Pelagian;Convertir secrètement à la foi pélagienne;;;;;;;;;;;;x
secretly_convert_to_pelagian_holy_site_desc;The §YPelagian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ypélagiens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;;;;;;;;;;;;x

secret_religions_prepare_grounds_pelagian;Prepare Ground;Préparer le terrain;;;;;;;;;;;;x
secret_religions_prepare_grounds_pelagian_desc;Order a loyal agent to secretly spread our teachings in a target province.;Ordonner à un agent fidèle de répandre secrètement nos enseignements dans une province cible.;;;;;;;;;;;;x

create_pelagian_papacy;Create the Pelagian Papacy;Instaurer la papauté pélagienne;;;;;;;;;;;;x
create_pelagian_papacy_desc;If I am pious enough and control Rome, I can create a Pelagian Pope to serve as the head of the faith in opposition to the vile Catholic Pope.;Si je fais preuve d'assez de piété et que je contrôle Rome, je pourrais nommer un pape pélagien qui sera le chef d'une foi vertueuse, par opposition au pape catholique corrompu.;;;;;;;;;;;;x

